year,State,pm25,scrubbers,inactive,non_scrubbers,operational
2003,WI,0.016126651,0,2,42,42
2004,WI,0.010917506,0,2,42,42
2005,WI,0.010344352,0,8,36,36
2006,WI,0.015528862,1,8,35,36
2007,WI,0.007584183,2,8,34,36
2008,WI,0.009286376,2,9,33,35
2009,WI,0.00825473,4,9,31,35
2010,WI,0.009487317,5,10,29,34
2011,WI,0.009077694,7,11,26,33
2012,WI,0.00420809,10,12,22,32
2013,WI,0.004634656,10,12,22,32
2014,WI,0.002322526,13,14,17,30
2015,WI,0.001645571,13,19,12,25
2016,WI,0.000806798,15,26,3,18
2017,WI,0.000448193,15,26,3,18
2018,WI,0.000704012,13,31,0,13
1999,WV,0.079419538,8,0,27,35
2000,WV,0.080172837,8,0,27,35
2001,WV,0.045121154,9,0,26,35
2002,WV,0.069412216,10,0,25,35
2003,WV,0.033959777,10,0,37,47
2004,WV,0.053432853,10,0,37,47
2005,WV,0.054094081,10,0,37,47
2006,WV,0.047729448,10,0,37,47
2007,WV,0.048283494,13,0,34,47
2008,WV,0.029704186,17,0,30,47
2009,WV,0.022996983,20,1,26,46
2010,WV,0.017027447,21,1,25,46
2011,WV,0.010404582,22,1,24,46
2012,WV,0.009853014,21,4,22,43
2013,WV,0.009456159,21,11,15,36
2014,WV,0.0072048,21,11,15,36
2015,WV,0.008055566,21,14,12,33
2016,WV,0.003143384,21,18,8,29
2017,WV,0.002524575,21,23,3,24
2018,WV,0.003771357,21,23,3,24
1999,WY,0.002862564,11,0,5,16
2000,WY,0.002556414,11,0,5,16
2001,WY,0.00246181,11,0,5,16
2002,WY,0.001439056,11,0,5,16
2003,WY,0.002478066,11,0,5,16
2004,WY,0.001880499,12,0,5,17
2005,WY,0.002665912,12,0,5,17
2006,WY,0.002412216,12,0,5,17
2007,WY,0.002991261,12,0,5,17
2008,WY,0.002549298,13,0,5,18
2009,WY,0.002422744,13,0,5,18
2010,WY,0.00152909,14,0,4,18
2011,WY,0.001866365,16,0,3,19
2012,WY,0.00096497,18,0,2,20
2013,WY,0.001723773,18,0,2,20
2014,WY,0.00132015,18,0,2,20
2015,WY,0.001129661,18,0,2,20
2016,WY,0.000946937,18,0,2,20
2017,WY,0.001040936,18,0,2,20
2018,WY,0.000847261,18,0,2,20
