year,State,pm25,stateLat,stateLong,fultonLat,fultonLong
2001,KY,0.10852457,37.839333,-84.270018,33.79,-84.47
2001,LA,0.013830283,31.244823,-92.145024,33.79,-84.47
2001,MA,0.000685078,42.407211,-71.382437,33.79,-84.47
2001,MD,0.017631084,39.045755,-76.641271,33.79,-84.47
2001,MI,0.029334581,44.314844,-85.602364,33.79,-84.47
2001,MN,0.003861614,46.729553,-94.6859,33.79,-84.47
2001,MO,0.020313036,37.964253,-91.831833,33.79,-84.47
2001,MS,0.015627344,32.354668,-89.398528,33.79,-84.47
2001,MT,0.000782105,46.879682,-110.362566,33.79,-84.47
2001,NC,0.135203505,35.759573,-79.0193,33.79,-84.47
2001,ND,0.00529491,47.551493,-101.002012,33.79,-84.47
2001,NE,0.003573614,41.492537,-99.901813,33.79,-84.47
2001,NH,0.000399724,43.193852,-71.572395,33.79,-84.47
2001,NJ,0.00108733,40.058324,-74.405661,33.79,-84.47
2001,NM,0.000860824,34.97273,-105.032363,33.79,-84.47
2001,NV,0.000242511,38.80261,-116.419389,33.79,-84.47
2001,NY,0.003572083,43.299428,-74.217933,33.79,-84.47
2001,OH,0.126637838,40.417287,-82.907123,33.79,-84.47
2001,OK,0.00606746,35.007752,-97.092877,33.79,-84.47
2001,OR,0.000136211,43.804133,-120.554201,33.79,-84.47
2001,PA,0.051697818,41.203322,-77.194525,33.79,-84.47
2001,SC,0.096709091,33.836081,-81.163725,33.79,-84.47
2001,SD,0.000629618,43.969515,-99.901813,33.79,-84.47
2001,TN,0.114988299,35.517491,-86.580447,33.79,-84.47
2001,TX,0.03413516,31.968599,-99.901813,33.79,-84.47
2001,UT,0.000286329,39.32098,-111.093731,33.79,-84.47
2001,VA,0.020394613,37.431573,-78.656894,33.79,-84.47
2001,WA,0.000447151,47.751074,-120.740139,33.79,-84.47
2001,WI,0.01244889,43.78444,-88.787868,33.79,-84.47
2001,WV,0.045121154,38.597626,-80.454903,33.79,-84.47
2001,WY,0.00246181,43.075968,-107.290284,33.79,-84.47
2002,AL,0.156982645,32.318231,-86.902298,33.79,-84.47
2002,AR,0.006857107,35.20105,-91.831833,33.79,-84.47
2002,AZ,0.000787752,34.048928,-111.093731,33.79,-84.47
2002,CO,0.001791887,39.550051,-105.782067,33.79,-84.47
2002,CT,0.0000712,41.603221,-73.087749,33.79,-84.47
2002,DE,0.002531406,38.910832,-75.52767,33.79,-84.47
2002,FL,0.072058588,27.664827,-81.515754,33.79,-84.47
2002,GA,0.403385363,32.157435,-82.907123,33.79,-84.47
