year,State,pm25,operational,scrubbers,inactive
2018,WA,1.38E-05,2,2,0
1999,WI,0.012270344,44,0,0
2000,WI,0.014829646,44,0,0
2001,WI,0.01244889,44,0,0
2002,WI,0.00997002,43,0,1
2003,WI,0.016126651,42,0,2
2004,WI,0.010917506,42,0,2
2005,WI,0.010344352,36,0,8
2006,WI,0.015528862,36,1,8
2007,WI,0.007584183,36,2,8
2008,WI,0.009286376,35,2,9
2009,WI,0.00825473,35,4,9
2010,WI,0.009487317,34,5,10
2011,WI,0.009077694,33,7,11
2012,WI,0.00420809,32,10,12
2013,WI,0.004634656,32,10,12
2014,WI,0.002322526,30,13,14
2015,WI,0.001645571,25,13,19
2016,WI,0.000806798,18,15,26
2017,WI,0.000448193,18,15,26
2018,WI,0.000704012,13,13,31
1999,WV,0.079419538,35,8,0
2000,WV,0.080172837,35,8,0
2001,WV,0.045121154,35,9,0
2002,WV,0.069412216,35,10,0
2003,WV,0.033959777,47,10,0
2004,WV,0.053432853,47,10,0
2005,WV,0.054094081,47,10,0
2006,WV,0.047729448,47,10,0
2007,WV,0.048283494,47,13,0
2008,WV,0.029704186,47,17,0
2009,WV,0.022996983,46,20,1
2010,WV,0.017027447,46,21,1
2011,WV,0.010404582,46,22,1
2012,WV,0.009853014,43,21,4
2013,WV,0.009456159,36,21,11
2014,WV,0.0072048,36,21,11
2015,WV,0.008055566,33,21,14
2016,WV,0.003143384,29,21,18
2017,WV,0.002524575,24,21,23
2018,WV,0.003771357,24,21,23
1999,WY,0.002862564,16,11,0
2000,WY,0.002556414,16,11,0
2001,WY,0.00246181,16,11,0
2002,WY,0.001439056,16,11,0
2003,WY,0.002478066,16,11,0
2004,WY,0.001880499,17,12,0
2005,WY,0.002665912,17,12,0
2006,WY,0.002412216,17,12,0
2007,WY,0.002991261,17,12,0
2008,WY,0.002549298,18,13,0
2009,WY,0.002422744,18,13,0
2010,WY,0.00152909,18,14,0
2011,WY,0.001866365,19,16,0
2012,WY,0.00096497,20,18,0
2013,WY,0.001723773,20,18,0
2014,WY,0.00132015,20,18,0
2015,WY,0.001129661,20,18,0
2016,WY,0.000946937,20,18,0
2017,WY,0.001040936,20,18,0
2018,WY,0.000847261,20,18,0
